"id","text","author"
"d551875a-1db4-4420-a3ea-c9925c6812e6","Three times Randolph Carter dreamed of the marvellous city and three times was he snatched away while still he paused on the high terrace above it.","HPL"
"0a218d3a-8fe4-4e92-9eb0-23740d19ba42","All golden and lovely it blazed in the sunset with walls temples colonnades and arched bridges of veined marble silver-basined fountains of prismatic spray in broad squares and perfumed gardens and wide streets marching between delicate trees and blossom-laden urns and ivory statues in gleaming rows; while on steep northward slopes climbed tiers of red roofs and old peaked gables harbouring little lanes of grassy cobbles.","HPL"
"ade0c304-638a-429f-858e-def8e8b909b2","It was a fever of the gods; a fanfare of supernal trumpets and a clash of immortal cymbals.","HPL"
"512ef4a1-fe1f-4f7f-b79c-780141528df2","Mystery hung about it as clouds about a fabulous unvisited mountain; and as Carter stood breathless and expectant on that balustraded parapet there swept up to him the poignancy and suspense of almost-vanished memory the pain of lost things and the maddening need to place again what once had an awesome and momentous place.","HPL"
"cf8b2ec6-bbdf-4fd3-99a4-00f4cceed3d2","He knew that for him its meaning must once have been supreme; though in what cycle or incarnation he had known it or whether in dream or in waking he could not tell.","HPL"
"d5df6b09-3b16-4e5d-ad47-eb83105c8cb7","Vaguely it called up glimpses of a far forgotten first youth when wonder and pleasure lay in all the mystery of days and dawn and dusk alike strode forth prophetick to the eager sound of lutes and song; unclosing faery gates toward further and surprising marvels.","HPL"
"dc70f9fe-337c-4953-b0f2-28e246707bc0","But each night as he stood on that high marble terrace with the curious urns and carven rail and looked off over that hushed sunset city of beauty and unearthly immanence he felt the bondage of dreams tyrannous gods; for in no wise could he leave that lofty spot or descend the wide marmoreal flights flung endlessly down to where those streets of elder witchery lay outspread and beckoning.","HPL"
"2ccbc624-4ccf-47d9-a33a-fe203e0f80a5","When for the third time he awaked with those flights still undescended and those hushed sunset streets still untraversed he prayed long and earnestly to the hidden gods of dream that brood capricious above the clouds on unknown Kadath in the cold waste where no man treads.","HPL"
"27068605-d02f-4388-9576-7368fcaa27ab","But the gods made no answer and shewed no relenting nor did they give any favouring sign when he prayed to them in dream and invoked them sacrificially through the bearded priests Nasht and Kaman-Thah whose cavern-temple with its pillar of flame lies not far from the gates of the waking world.","HPL"
"0137b483-bd5e-4c90-a867-00f8e3d8fdad","It seemed however that his prayers must have been adversely heard for after even the first of them he ceased wholly to behold the marvellous city; as if his three glimpses from afar had been mere accidents or oversights and against some hidden plan or wish of the gods.","HPL"
"74847ac2-56e9-4a0b-ac8f-722fb85d78ce","At length sick with longing for those glittering sunset streets and cryptical hill lanes among ancient tiled roofs nor able sleeping or waking to drive them from his mind Carter resolved to go with bold entreaty whither no man had gone before and dare the icy deserts through the dark to where unknown Kadath veiled in cloud and crowned with unimagined stars holds secret and nocturnal the onyx castle of the Great Ones.","HPL"
"3863b725-75ec-45db-ba4b-9616304cfcb4","In light slumber he descended the seventy steps to the cavern of flame and talked of this design to the bearded priests Nasht and Kaman-Thah.","HPL"
"6fb01de4-dfd5-4035-862b-8210e39e6fde","And the priests shook their pshent-bearing heads and vowed it would be the death of his soul.","HPL"
"a5856bfc-a71d-4144-89ff-7c08de9c3a2d","They pointed out that the Great Ones had shewn already their wish and that it is not agreeable to them to be harassed by insistent pleas.","HPL"
"3adb1047-d2c7-4ac3-b343-ff3b5aa57e1b","They reminded him too that not only had no man ever been to unknown Kadath but no man had ever suspected in what part of space it may lie; whether it be in the dreamlands around our world or in those surrounding some unguessed companion of Fomalhaut or Aldebaran.","HPL"
"4e5c045f-502a-4bed-b4fd-57eb71ff2644","If in our dreamland it might conceivably be reached; but only three fully human souls since time began had ever crossed and recrossed the black impious gulfs to other dreamlands and of that three two had come back quite mad.","HPL"
"92e631b8-c706-45f0-a518-0c8bbdfd86e5","There were in such voyages incalculable local dangers; as well as that shocking final peril which gibbers unmentionably outside the ordered universe where no dreams reach; that last amorphous blight of nethermost confusion which blasphemes and bubbles at the centre of all infinitythe boundless daemon-sultan Azathoth whose name no lips dare speak aloud and who gnaws hungrily in inconceivable unlighted chambers beyond time amidst the muffled maddening beating of vile drums and the thin monotonous whine of accursed flutes; to which detestable pounding and piping dance slowly awkwardly and absurdly the gigantic ultimate gods the blind voiceless tenebrous mindless Other Gods whose soul and messenger is the crawling chaos Nyarlathotep.","HPL"
"d2fd499c-7807-45f2-a6e7-5be672927b96","Of these things was Carter warned by the priests Nasht and Kaman-Thah in the cavern of flame but still he resolved to find the gods on unknown Kadath in the cold waste wherever that might be and to win from them the sight and remembrance and shelter of the marvellous sunset city.","HPL"
"b5982594-126d-4bc8-88bb-29becccf8309","He knew that his journey would be strange and long and that the Great Ones would be against it; but being old in the land of dream he counted on many useful memories and devices to aid him.","HPL"
"b3fabccb-244b-49a1-b2c9-72f2db2fb5bc","So asking a farewell blessing of the priests and thinking shrewdly on his course he boldly descended the seven hundred steps to the Gate of Deeper Slumber and set out through the enchanted wood.","HPL"
"699e6d43-2636-43e1-9e0c-d773505b2636","In the tunnels of that twisted wood whose low prodigious oaks twine groping boughs and shine dim with the phosphorescence of strange fungi dwell the furtive and secretive zoogs; who know many obscure secrets of the dream-world and a few of the waking world since the wood at two places touches the lands of men though it would be disastrous to say where.","HPL"
"5c7adba7-6302-4798-ab8c-3d1b5849ba7b","Certain unexplained rumours events and vanishments occur among men where the zoogs have access and it is well that they cannot travel far outside the world of dream.","HPL"
"4d48b0af-7510-48d6-950c-a266119020df","But over the nearer parts of the dream-world they pass freely flitting small and brown and unseen and bearing back piquant tales to beguile the hours around their hearths in the forest they love.","HPL"
"4c456302-0998-413c-8a67-900e4ed0632d","Most of them live in burrows but some inhabit the trunks of the great trees; and although they live mostly on fungi it is muttered that they have also a slight taste for meat either physical or spiritual for certainly many dreamers have entered that wood who have not come out.","HPL"
"f96049f1-85a0-4953-b6d8-59391886192a","Carter however had no fear; for he was an old dreamer and had learnt their fluttering language and made many a treaty with them; having found through their help the splendid city of Celephas in Ooth-Nargai beyond the Tanarian Hills where reigns half the year the great King Kuranes a man he had known by another name in life.","HPL"
"72561e0b-8c27-4847-a0c3-c6fcc752b063","Kuranes was the one soul who had been to the star-gulfs and returned free from madness.","HPL"
"9f8ecdf8-c470-45b1-bd1b-cb804b596780","Threading now the low phosphorescent aisles between those gigantic trunks Carter made fluttering sounds in the manner of the zoogs and listened now and then for responses.","HPL"
"1ff78e34-d6cc-48ef-ac51-039249b1fcee","He remembered one particular village of the creatures near the centre of the wood where a circle of great mossy stones in what was once a clearing tells of older and more terrible dwellers long forgotten and toward this spot he hastened.","HPL"
